Library,Run,Time (s),Memory (MB)
Pandas,1,24.69204691599998,25.609375
Pandas,2,24.695833332999882,
Pandas,3,24.6611843339997,
Pandas,4,24.666323250000005,
Pandas,5,24.65537095799982,
Pandas,6,24.668667999999798,
Pandas,7,24.655114499999854,
Pandas,8,24.669504457999665,
Pandas,9,24.722166749999815,
Pandas,10,24.673178291000113,
Polars,1,24.00118862499994,115.515625
Polars,2,24.105525208000017,
Polars,3,23.980187958999522,
Polars,4,23.976933041999473,
Polars,5,23.984457500000644,
Polars,6,23.96941204199993,
Polars,7,23.993276917000003,
Polars,8,23.976919666999493,
Polars,9,23.987349832999826,
Polars,10,23.97961233299975,
